"","country","year","v2csantimv","v2svstterr","v2svinlaut","v2clrgunev","e_Fiscal_Reliance","e_Civil_War","e_miinterc","v2csanmvch_9","v2clsocgrp","v2pepwrsoc","inflation","inflationm1","inflationm2","inflationm3","inflatavg","debt","debtm1","debtm2","debtm3","debtavg","ctrySize","popDensity","national","trust1","trust2"
"1","Albania",1998,0.368750846269579,91.5,1.69555235723573,0.0862118752956234,NA,0,0,0,1.71793023932676,1.16385835687883,20.64285887,33.18027438,12.72547781,7.793218538,17.8996569093333,0.623593,0.516477,0.491993,0.45886,0.48911,169.558249578132,114.179927007299,1.42442442442442,1.45945945945946,NA
"2","Albania",2002,-0.804373045894044,94.75,1.69555235723573,0.621629930210368,NA,0,NA,0,2.08921106159112,1.16385835687883,7.770525834,3.10758827,0.050018136,0.389437654,1.18234802,1.181526,1.154928,1.122377,0.773092,1.016799,169.558249578132,111.350729927007,1.303,1.624,NA
"3","Algeria",2002,0.365490918045308,79.0909090909091,1.38240514888863,0.0618564853193669,62.86802,0,NA,0,0.063134495247586,0.55432443275297,1.418301923,4.225988349,0.339163189,2.645511134,2.403554224,23.045302,22.763886,25.476934,28.206747,25.4825223333333,1543.28869625874,13.4334755262959,1.29719188767551,1.77067082683307,NA
"4","Algeria",2013,-0.0310594497324949,94.2857142857143,1.44220395122483,0.0618564853193669,NA,NA,NA,0.454545454545455,0.063134495247586,0.290744459264274,3.253684177,8.894585294,4.521764663,3.913043478,5.77646447833333,5.245583,5.515626,6.064669,7.260316,6.28020366666667,1543.28869625874,16.0968711950087,1.35,1.65833333333333,1.63666666666667
"5","Argentina",1984,-1.165390870559,99.1111111111111,1.40310952809089,-1.44623684637656,NA,0,0,0,1.4613576368405,1.33963967146661,626.7185921,343.8106763,164.7768106,104.4760426,204.354509833333,49.060797,46.108325,43.787,35.809459,41.9015946666667,1667.45314776758,10.9332456361517,1.48258706467662,1.39303482587065,NA
"6","Argentina",1991,-2.45231528715541,99.1111111111111,1.40310952809089,-0.789711972747249,NA,0,0,0,1.25379281886857,1.45775038029483,171.6716965,2313.964663,3079.809703,342.9551102,1912.24315873333,65.672389,62.477598,65.538427,59.015257,62.3437606666667,1667.45314776758,12.1292210663246,1.51097804391218,1.65369261477046,NA
"7","Argentina",1995,-2.45231528715541,99.1111111111111,1.40310952809089,-0.789711972747249,NA,0,0,0,1.25379281886857,1.45775038029483,3.37611685,4.177347244,10.6114941,24.8999486,13.229596648,98.773126,75.094059,64.681396,68.605634,69.460363,1667.45314776758,12.7872773313748,1.32159406858202,1.75625579240037,NA
"8","Argentina",1999,-2.45231528715541,99.1111111111111,1.40310952809089,-0.789711972747249,NA,0,0,0,1.25379281886857,1.45775038029483,-1.16689547,0.920336467,0.527258257,0.155695901,0.534430208333333,151.913802,141.504496,128.25144,111.145506,126.967147333333,1667.45314776758,13.3913844827145,1.25390625,1.7703125,NA
"9","Argentina",2006,-2.25042627456959,99.1111111111111,1.40310952809089,-0.789711972747249,NA,0,NA,0,1.25379281886857,1.47648650964333,10.90112453,9.639399546,4.415717923,13.44284929,9.16598891966667,118.921237,130.788489,167.999631,163.442689,154.076936333333,1667.45314776758,14.4550131728475,1.2684630738523,1.77345309381238,1.96407185628743
"10","Argentina",2013,-1.66405128893907,99.1111111111111,1.40310952809089,-0.52112947829774,NA,NA,NA,0,1.25379281886857,1.44308903547311,10.61943301,10.03025902,9.465686275,10.78011543,10.0920202416667,146.568611,136.543043,139.509123,126.64121,134.231125333333,1667.45314776758,15.5442980388718,1.47184466019417,1.66699029126214,1.86796116504854
"11","Armenia",1997,-0.0196895509626987,99.875,1.27896724712802,0.0168825481508491,NA,0,0,0,1.70965174010963,2.54767765215743,13.96076412,18.68118564,175.9513255,3373.474139,1189.36888338,0.638485,0.520544,0.370657,0.21433,0.368510333333333,172.452892118399,110.048682824025,1.7175,1.621,NA
"12","Armenia",2011,-0.644640455734717,99.875,0.217989575757276,0.0168825481508491,NA,NA,NA,0,1.23056625230488,1.68194494623243,7.651233638,8.181575544,3.406766827,8.949953354,6.846098575,7.408641,6.304799,4.932728,3.60942,4.94898233333333,172.452892118399,101.003898840885,1.19,1.85727272727273,1.62727272727273
"13","Australia",1981,-2.32746747539021,99.5833333333333,1.94247872214841,0.560345356967694,NA,0,0,0,1.44520262414936,1.91692763633574,9.691745036,10.12658228,9.090000999,7.923673998,9.04675242566667,NA,NA,NA,NA,NA,2782.30479998148,1.94303789229788,1.07247557003257,1.40635179153094,NA
