"Data Source","World Development Indicators",

"Last Updated Date","2018-01-19",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Azerbaijan","AZE","Net trade in goods and services (BoP, current US$)","BN.GSR.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-505362000","-985550000","-951065000","-1415241000","-636487000","94589000","238833000","-454039000","-1712980000","-2077108000","1329081000","5821918000","13093253000","20668404000","12972340000","17998383000","21331439000","19292808000","16419226000","12838097000","1583558000","1051820000","",
"Burundi","BDI","Net trade in goods and services (BoP, current US$)","BN.GSR.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","-112212410.645103","-127308943.522808","-180999564.32775","-144656148.723245","-135460084.033613","-228796850.707885","-218623410.40635","-224685553.713506","-199172089.957987","-170939494.384802","-129557670.940813","-87449352.5940279","-38087890.6203808","-96351255.0272744","-62747787.5124764","-97459551.7155252","-102096055.494448","-108960828.150083","-130484103.37884","-167796711.78127","-227398384.118993","-353763311.310568","-346620952.658039","-441272619.548802","-401314957.509576","-426014308.367945","-529656985.319385","-701167872.395645","-692692720.521686","-718376594.268176","-654480749.921275","-559484334.834846","",
"Belgium","BEL","Net trade in goods and services (BoP, current US$)","BN.GSR.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11476898248.8802","10688122558.6304","12279021447.4365","8648084377.57565","9135484112.65642","6388345250.21521","-6643210464.77232","5323859489.81615","6077406186.36638","-3459679196.32567","-3960833682.69173","282458427.450333","154923106.563644","7466195211.67053","6215518168.42413","",
"Benin","BEN","Net trade in goods and services (BoP, current US$)","BN.GSR.GNFS.CD","","","","","","","","","","","","","","","-73899688.6706193","-119288199.447148","-152855929.894744","-165170350.740429","-206021682.538179","-207604638.226326","-194590526.846302","-214619984.004976","-464769001.641305","-196320303.9044","-102579966.183068","-102167335.858185","-141204638.725731","-145406600.950012","-153359318.98824","-81247729.4214813","-90092810.6946715","-343430086.16516","-245575041.673662","-196400598.194143","-92834949.7100856","-280430214.213829","-94660482.747005","-209202342.599654","-207407122.539361","-252179013.964576","-179354291.127303","-224307820.686286","-287686633.663198","-359506825.81502","-344979255.110062","-372717296.141304","-445428199.384658","-754037235.897987","-769515309.882812","-788159265.287063","-631878698.927797","-642264852.146396","-710686806.802114","-858430406.150039","-1117240380.37114","-821997859.162257","","",
"Burkina Faso","BFA","Net trade in goods and services (BoP, current US$)","BN.GSR.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-848477782.165806","-782841351.320751","-960903231.210106","-1368751242.61872","-888795393.294995","-667624350.813268","-697026105.875623","-585829780.569057","-1595490203.73592","-1116086794.71056","","","",
"Bangladesh","BGD","Net trade in goods and services (BoP, current US$)","BN.GSR.GNFS.CD","","","","","","","","","","","","","","","","","-480606264.950485","-663369889.01433","-942478540.688586","-1309762900.9952","-1829305681.98229","-1896655282.54027","-1674191270.82786","-1395938726.16493","-1678795062.44922","-1527027397.33888","-1708694420.02741","-1615000802.4229","-1778862048.53991","-2387325689.49489","-1895840930.87395","-1650022838.99286","-1561350613.08649","-1515339352.99061","-1851345900.48272","-3157115126.18329","-2836515602.01405","-2307212151.30023","-2087438608.91848","-2696292969.48389","-2458878888.10143","-2817985657.31352","-2234843547.53366","-3141653816.41339","-3854880482.14049","-3868317729.06962","-3896303860.12961","-5462928581.36726","-7672641808.74828","-6025299151.95923","-7816344792.83923","-10888026891.2585","-10157899098.9677","-9933198074.62348","-12119389611.999","-10606498175.2762","-10534892076.3015","",
"Bulgaria","BGR","Net trade in goods and services (BoP, current US$)","BN.GSR.GNFS.CD","","","","","","","","","","","","","","","","","","","","","1308000000","293000000","287000000","55000000","514000000","-112000000","-856000000","-514000000","-76000000","-254000000","-1077000000","-117900000","-307200000","-943400000","-6000000","274500000","307700000","546700000","-8020423.35564995","-766710358.940426","-669989777.212585","-1327927121.52239","-1209902300.43731","-2061604764.8916","-2896945990.97014","-4449983421.99429","-5844352050.21159","-8945175667.26605","-10620241928.2913","-3922786473.94819","-1627160000","170110000","-1886240000","-385580000","-325770000","442430000","2356060000","",
"Bahrain","BHR","Net trade in goods and services (BoP, current US$)","BN.GSR.GNFS.CD","","","","","","","","","","","","","","","","90012642.4526237","-33872670.0229971","-28560596.5589803","40004817.887758","348254470.146655","304774346.064675","368617022.25696","364920213.73649","51063829.9230423","331117021.643525","523670212.765957","472074468.085106","325797872.340426","449734042.553192","264095744.680851","120478723.404255","-490425531.914894","-588031914.893617","177127664.677881","316489391.162576","675266009.827816","718617083.391105","607180907.583328","44414898.0466985","1052961957.63308","2044070281.64894","1811550028.19149","1332161989.80497","1775601799.20213","2166297712.58865","3109957700.70922","4103227902.39362","4688031914.89362","4955053191.48936","4350797872.34043","4784840425.53192","9061702127.65958","8133776595.74468","9011436170.21277","9152393617.02127","","","",
"Bahamas, The","BHS","Net trade in goods and services (BoP, current US$)","BN.GSR.GNFS.CD","","","","","","","","","","","","","","","","","140700000.1407","122900000.1229","142700000.1427","92500000.0924996","58600000.0586001","12300000.0123004","10400000.0104002","28100000.0280999","61300000.1116332","175400000","205400000","130400000","111900000","41500000","130600000","-12000000","106400000","153260000","68100000","-28100000","-151700000","-358800000","-832100000","-403400000","-570760000","-556100000","-281323042.557","-369790000","-416580000","-603804537.741","-1237750000","-1135298058.99422","-1112196412.431","-670319000","-576589000","-930926000","-1247731400","-1168058000","-1513316594.86294","-815857514.44974","-921512760.930457","",
"Bosnia and Herzegovina","BIH","Net trade in goods and services (BoP, current US$)","BN.GSR.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-2925389370.83722","-3117889819.77411","-2577518132.81806","-2730065298.51948","-3120639139.59946","-3821941979.2465","-4138362133.57751","-4345529639.45764","-3624941968.5814","-4662020359.93844","-6229877854.77118","-4194259998.58544","-3699616132.55731","-4434962079.82806","-4035721592.83707","-3724521863.46056","-4204733004.76733","-3042629563.39352","-2899136784.39024","",
"Belarus","BLR","Net trade in goods and services (BoP, current US$)","BN.GSR.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-479800000","-437700000","-483300000","-576400000","-853000000","-1019200000","-255500000","-567100000","-633700000","-473400000","-692400000","-1493900000","341600000","-1492100000","-2817800000","-4652300000","-5608000000","-7500100000","-1208900000","2834000000","-2340900000","-488900000","100700000","-77500000","",
"Belize","BLZ","Net trade in goods and services (BoP, current US$)","BN.GSR.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","-17100000","-13100000","-13050000","-14100000","-20750000","-40750000","-3850000","-43000000","-42900000","-60500000","-42201500","-28143500","-11710000","-43315000","-63297500","-70653468.46","-166561465.90375","-162844254.468061","-141161220.765321","-135689422.722701","-84088082.0113378","-88005496.0710369","25931934.0018134","13477104.0825885","-91248702.9103413","-53959075.1280521","19961433.0748312","-5491301.20521107","9363001.62986252","-27570992.4474361","-67121775.1502314","-148978201.235809","-163283832.513023","",
"Bermuda","BMU","Net trade in goods and services (BoP, current US$)","BN.GSR.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-338490000","-650029970.091134","-712497097.004797","-693118178.729979","-585289486.165294","-326799752.461443","-399084688.584863","-515927552.12556","-605016880.405959","-617239254.780471","-691555768.594977","",
"Bolivia","BOL","Net trade in goods and services (BoP, current US$)","BN.GSR.GNFS.CD","","","","","","","","","","","","","","","","","-36000000","-65800000","-244600000","-265900000","197200000","-142100000","192300000","117500000","152200000","11000000","-175700000","-266300000","-174900000","-160900000","-109500000","-198100000","-578800000","-536500000","-171700000","-340100000","-418490000","-648500000","-844800000","-678100000","-607815903.97","-458745530.02828","-516682880.93811","-86907789.367575","231061237.172873","414848470.908809","892459631.56059","814530371.934915","1244957796.03459","274170000","681407338.774799","345773475.203279","2339083705.3513","1691971936.9631","1093391146.7655","-1922599235.7217","-2511355099.73418","",
"Brazil","BRA","Net trade in goods and services (BoP, current US$)","BN.GSR.GNFS.CD","","","","","","","","","","","","","","","","-4994000000","-3971000000","-1686000000","-2882000000","-5041000000","-5957000000","-1688000000","-2810000000","4062000000","11337000000","10762000000","5731000000","8794000000","16145000000","13327000000","6986000000","6687000000","11897000000","8739000000","5515000000","-10652000000","-13512000000","-15961000000","-15648000000","-8244000000","-7859777661.10749","-5108845803.41413","8164106076.27807","19862819852.2364","28989514786.4329","36394274084.7342","36804240760.5937","26812962156.6268","8145874250.69796","6025626300","-11600794561.79","-9479666858.71","-22588710131.5","-45983549670.83","-54736046612.645","-19248507289.07","14590183783.82","",
