;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Interest Rates selected indicators;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Financial, Interest Rates, Monetary Policy-Related Interest Rate, Percent per annum;"getSelectionEl(0,6,""Indicator"")";"getSelectionEl(0,6,""Indicator"")";"getSelectionEl(0,6,""Indicator"")";;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Source: International Financial Statistics (IFS);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Country;Scale;Base Year;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017Q1
;Thailand;Units;;...;...;...;...;...;...;...;...;...;...;...;2,25;1,75;1,25;2,00;4,00;5,00;3,25;2,75;1,25;2,00;3,25;2,75;2,25;2,00;1,50;1,50;1,50
;Vietnam;Units;;...;...;...;...;...;...;18,90;10,80;12,00;6,00;6,00;4,80;4,80;5,00;5,00;5,00;6,50;6,50;10,25;8,00;9,00;15,00;9,00;7,00;6,50;6,50;6,50;6,50
;Europe;;;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
;Emerging and Developing Europe;;;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
;Albania;Units;;...;...;...;34,00;25,00;20,50;24,00;32,00;23,44;18,00;10,82;7,00;8,50;6,50;5,25;5,00;5,50;6,25;6,25;5,25;5,00;4,75;4,00;3,00;2,25;1,75;1,25;1,25
;Bulgaria;Units;;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;3,26;4,58;5,77;0,55;0,18;0,22;0,03;0,02;0,02;0,01;-;-
;Serbia, Republic of;Units;;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;10,00;17,75;9,50;11,50;9,75;11,25;9,50;8,00;4,50;4,00;4,00
;Turkey;Units;;62,72;59,87;67,77;69,63;92,04;106,31;73,99;78,04;78,97;69,97;183,20;59,00;44,00;26,00;18,00;13,50;17,50;15,96;15,63;6,50;1,63;5,00;5,00;3,50;7,50;7,25;7,25;7,25
;CIS;;;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
;Armenia;Units;;...;...;...;...;...;...;...;...;...;...;25,00;15,00;13,50;7,00;3,75;3,50;4,75;5,75;7,25;5,00;7,25;8,00;8,00;7,75;8,50;8,75;6,25;6,00
;Azerbaijan;Units;;...;...;...;...;...;...;...;12,00;14,00;10,00;10,00;10,00;7,00;7,00;7,00;9,00;9,50;13,00;8,00;2,00;3,00;5,25;5,00;4,75;3,50;3,00;15,00;15,00
;Belarus;Units;;...;...;...;...;...;...;...;...;...;...;80,00;66,00;38,00;28,00;17,00;11,00;10,00;10,00;12,00;13,50;10,50;45,00;30,00;23,50;20,00;25,00;18,00;15,00
;Georgia;Units;;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;8,00;5,00;7,50;6,75;5,25;3,75;4,00;8,00;6,50;6,75
;Kazakhstan;Units;;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;9,00;11,00;10,50;7,00;7,00;7,50;5,50;5,50;5,50;16,00;12,00;11,00
;Kyrgyz Republic;Units;;...;...;...;...;...;...;...;...;...;...;38,29;7,95;4,43;3,97;4,00;4,13;3,15;8,79;15,22;0,90;5,50;13,61;2,64;4,17;10,50;10,00;5,00;5,00
;Moldova;Units;;...;...;...;...;...;...;...;...;...;...;27,00;13,00;9,50;14,00;14,50;12,50;14,50;16,00;14,00;5,00;7,00;9,50;4,50;3,50;6,50;19,50;9,00;9,00
;Russia;Units;;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;5,25;5,50;5,50;17,00;11,00;10,00;9,75
;Tajikistan;Units;;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;18,00;17,30;18,67;17,50;11,00;16,00
;Middle East, North Africa, Afghanistan, and Pakistan;;;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
;Afghanistan, Islamic Republic of;Units;;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;1,80;1,82;1,80
