"number","base_treaty","name","entry_type","full_fta","standards","investments","services","procurement","competition","iprs","depth_index","depth_rasch"
"797",797,"Canada Honduras","base treaty",1,1,1,1,1,1,0,6,1.48042898484962
"798",798,"Canada Panama","base treaty",1,1,1,1,1,1,0,6,1.53303332811036
"799",799,"Central America EC","base treaty",1,1,1,1,1,1,1,7,1.69815001794415
"800",800,"Chile Malaysia","base treaty",1,1,1,0,0,0,0,3,0.487857522695063
"801",801,"Chile Thailand","base treaty",1,1,0,1,0,0,0,3,0.621041369860671
"803",803,"Chile Vietnam","base treaty",1,1,0,0,0,0,0,2,0.17215335074139
"804",804,"China Costa Rica","base treaty",1,1,1,1,0,0,1,5,1.12385393660114
"805",805,"Colombia Costa Rica","base treaty",1,1,1,1,1,1,1,7,1.94797795321653
"806",806,"Colombia Israel","base treaty",1,1,1,1,1,0,0,5,1.17484322801381
"808",808,"Colombia Korea","base treaty",1,1,1,1,1,1,1,7,1.94797795321662
"809",809,"Colombia Panama","base treaty",1,1,1,1,1,1,0,6,1.81444378797647
"810",810,"Colombia Peru EC","base treaty",1,1,1,1,1,1,1,7,1.75661471752183
"811",811,"Commonwealth of Independent States (CIS)","base treaty",1,1,0,0,0,0,0,2,-0.144776267421754
"813",813,"Costa Rica Peru","base treaty",1,1,1,1,1,1,1,7,1.94797795321654
"814",814,"Costa Rica Singapore","base treaty",1,1,1,1,1,1,0,6,1.5330333281106
"815",815,"EC Korea","base treaty",1,1,1,1,1,1,1,7,2.26714643254156
"817",817,"EFTA Hong Kong","base treaty",1,1,1,1,0,1,1,6,1.64161748755356
"818",818,"EFTA Montenegro","base treaty",1,1,0,0,0,0,1,3,0.967429643826601
"819",819,"EFTA Peru","base treaty",1,1,1,0,1,1,1,6,1.6416174875536
"820",820,"EFTA Ukraine","base treaty",1,1,1,1,1,1,1,7,1.93183576834747
"821",821,"Egypt MERCOSUR","base treaty",1,1,0,0,0,0,0,2,0.17215335074139
"823",823,"Guatemala Peru","base treaty",1,1,1,1,1,1,1,7,1.88100425873014
"825",825,"Hong Kong New Zealand","base treaty",1,1,1,1,1,1,0,6,1.51029586969121
"826",826,"India Japan","base treaty",1,1,1,1,0,1,0,5,1.32662805671977
"827",827,"India Malaysia","base treaty",1,1,1,1,0,0,0,4,1.09060797616588
"829",829,"Japan Peru","base treaty",1,1,1,1,1,1,1,7,1.93183576834754
"830",830,"Korea Peru","base treaty",1,1,1,1,1,1,1,7,2.08068162023371
"831",831,"Korea Turkey","base treaty",1,1,0,0,0,1,1,4,0.967429643826554
"832",832,"Mauritius Turkey","base treaty",1,1,0,0,0,0,0,2,-0.027280325311892
"833",833,"Montenegro Ukraine","base treaty",1,1,1,1,0,0,0,4,0.87259432669772
"834",834,"New Zealand Taiwan","base treaty",1,1,1,1,1,1,1,7,1.6784059003958
"836",836,"Pacific Alliance","base treaty",1,1,1,1,1,0,1,6,1.32662805671972
"837",837,"Panama Peru","base treaty",1,1,1,1,1,1,1,7,1.94797795321653
"838",838,"Peru Venezuela","base treaty",0,1,0,0,0,0,0,1,-0.441026861350697
